Country,Year,Part0,Part1,Part2,Part3,Part4,Part5,Part6,Part7,Part8,Part9,Part10
WORLD,1950,608580,500516,419059,333709,276013,196396,128591,59285,13102,1145,34
WORLD,1955,723191,518803,448466,351964,295930,217765,136611,64247,14936,1082,24
WORLD,1960,817764,567860,475705,392639,304578,239890,148389,70228,16746,1131,20
WORLD,1965,890367,680340,495477,424022,324086,260084,166991,77289,19471,1438,20
WORLD,1970,983484,776506,545779,453056,367103,270453,190079,88703,23469,1782,23
WORLD,1975,1049427,853946,658979,477088,400841,293322,211468,104669,27432,2278,32
WORLD,1980,1074946,949781,754468,528420,431703,336411,223455,123091,32677,3005,45
WORLD,1985,1122641,1018842,834674,640646,455829,368506,245549,139998,40389,3781,66
WORLD,1990,1219327,1047642,928680,735728,508471,399436,284165,149606,49317,4765,92
WORLD,1995,1250277,1097033,994943,814346,617786,423453,313327,168253,58370,6304,120
WORLD,2000,1224436,1195028,1022643,906226,709977,474301,341897,197274,63497,8067,151
WORLD,2005,1234425,1228793,1071866,971691,785204,579280,364900,220175,75301,10065,208
WORLD,2010,1271569,1207000,1169040,1000615,878016,666655,414561,245187,92184,11704,294
WORLD,2015,1315380,1217590,1206649,1050894,944510,743178,510216,268149,107106,15710,417
WORLD,2020,1342381,1253463,1192080,1150350,973155,833622,591786,312459,124116,20814,573
Africa,1950,68301,49057,37567,27408,19844,13567,8037,3335,641,38,0
Africa,1955,77692,53532,41349,30318,21781,15002,8827,3600,622,28,0
Africa,1960,89155,59899,45153,33790,24097,16641,9894,4007,699,26,0
Africa,1965,102273,69263,49153,37575,26925,18466,11106,4542,813,30,0
Africa,1970,116939,80569,55436,41107,30147,20522,12502,5241,947,37,0
Africa,1975,133872,93462,63929,45079,33894,23190,14034,6039,1128,46,0
Africa,1980,154796,107356,74835,51039,37529,26411,15947,7038,1379,56,0
Africa,1985,178582,124292,87106,59382,41332,29859,18276,8080,1643,72,0
Africa,1990,202474,144816,100853,69632,46985,33133,20997,9394,1974,90,1
Africa,1995,222335,167788,116680,81411,54897,36709,23984,10992,2359,115,1
Africa,2000,244216,190861,135865,93009,63637,41356,26497,12611,2786,145,1
Africa,2005,272387,210850,157984,106966,73338,47802,29057,14302,3286,182,2
Africa,2010,307441,233172,179922,125039,84381,55960,33147,16093,3918,229,2
Africa,2015,346678,261870,200729,146885,98344,65620,39109,18204,4704,292,3
Africa,2020,381403,297692,224709,169887,116574,76436,46584,21390,5536,384,4
Asia,1950,360724,290616,231478,186459,143071,99616,62061,25774,4808,298,3
Asia,1955,437418,302248,253865,196408,154268,108308,64513,26579,5147,283,5
Asia,1960,499977,331872,273813,213402,165933,118099,68445,28052,5151,290,5
Asia,1965,547580,405883,286483,236697,176782,129316,75805,30296,5785,342,6
Asia,1970,624628,470438,317929,258786,196048,143237,87545,36047,7393,420,7
Asia,1975,676099,522277,393331,275170,222413,157475,101046,43757,9067,529,9
Asia,1980,678503,601501,457391,307628,246019,178213,115335,52799,11443,735,11
Asia,1985,695966,655997,511526,382795,262972,203834,129188,63178,14744,958,15
Asia,1990,762752,661393,589812,446715,296079,227244,148281,73865,18595,1343,22
Asia,1995,776527,680150,642191,499110,369383,244054,171668,84539,23550,1884,30
Asia,2000,739005,747395,647036,576228,431899,276254,192838,99207,28728,2626,47
Asia,2005,727665,763926,664423,628225,482541,347412,208826,116946,34297,3650,74
Asia,2010,728506,729026,730773,634668,560188,406000,239910,133393,42248,4768,115
Asia,2015,731698,718519,747762,653337,613120,457679,304600,148055,52225,6303,178
Asia,2020,726754,719074,718652,719724,617758,532549,359182,175892,62569,8635,265
Europe,1950,53634,92953,96000,74526,79500,65082,45849,30063,11771,1822,11
Europe,1955,57535,92428,96597,90711,70209,72205,50618,32613,13705,1944,8
Europe,1960,59112,106107,91384,92762,71450,75223,58266,35289,15265,2437,6
Europe,1965,58264,111993,92129,94011,88089,66800,65418,39625,17429,2908,7
Europe,1970,54904,113184,104797,89440,90293,68591,68935,45989,19141,3501,8
Europe,1975,53403,108957,110989,90632,91522,84709,60711,51899,21749,4160,11
Europe,1980,51687,104101,112990,103634,87815,86455,62981,55080,25836,4776,15
Europe,1985,51467,101010,109297,110127,88893,87474,77045,48506,29794,5706,22
Europe,1990,50070,99488,104687,112324,102004,84058,78513,51417,32779,7197,29
Europe,1995,43506,98784,101863,109455,108747,85534,79774,62778,29280,8874,35
Europe,2000,38801,90707,100743,104797,111077,97769,76652,63809,32624,10063,43
Europe,2005,38726,79372,100977,103715,109284,104519,78733,66038,40058,9192,60
